> Cross profile number -L0-000 at  159.000/050.000 az=-38.6
159.67381426	49.4501551493	-78.1132386825	321.883065639	-5585.97847991
159.656726589	49.4643022328	-76.1104180218	321.870090594	-5595.14721145
159.639629047	49.4784467977	-74.1075929845	321.857105315	-5611.16197416
159.622521627	49.4925888413	-72.1047635715	321.844109791	-5629.46671553
159.60540432	49.5067283607	-70.101929784	321.831104016	-5634.1124557
159.588277117	49.5208653533	-68.0990916231	321.818087979	-5626.71605447
159.571140008	49.5349998164	-66.09624909	321.805061673	-5636.70084515
159.553992986	49.5491317472	-64.0934021856	321.792025089	-5650.37225485
159.536836041	49.5632611431	-62.0905509112	321.778978219	-5650.82741209
159.519669163	49.5773880012	-60.0876952679	321.765921052	-5644.57517169
159.502492345	49.5915123188	-58.0848352567	321.752853582	-5639.99119505
159.485305578	49.6056340932	-56.0819708787	321.739775799	-5640.47170934
159.468108851	49.6197533217	-54.0791021352	321.726687694	-5645.17183591
159.450902157	49.6338700014	-52.0762290272	321.713589259	-5656.6762021
159.433685487	49.6479841297	-50.0733515559	321.700480485	-5672.5028294
159.416458831	49.6620957038	-48.0704697223	321.687361364	-5692.24819703
159.39922218	49.6762047209	-46.0675835276	321.674231886	-5714.88508172
159.381975526	49.6903111784	-44.064692973	321.661092043	-5739.82660745
159.36471886	49.7044150733	-42.0617980594	321.647941826	-5768.04326966
159.347452172	49.7185164029	-40.0588987882	321.634781227	-5804.55631962
